incluir include
usando using
nombres namespace
defina define
sinodef ifndef
termsi endif
salir exit
volver return
carác char
palab string
archivo file
ARCHIVO FILE
larg long
flot float
doble double
clase class
estruct struct
no_signo unsigned
vacío void
si if
si_no else
para for
mientras while
haz do
romper break
continuar continue
interr switch
caso case
afirma assert
esalnum isalpha
esalfa isalpha
esvacio isblank
escntrl iscntrl
esdec isdigit
esgraf isgraph
esminúsc islower
esimprim isprint
espunt ispunct
esespac isspace
esmayúsc isupper
eshexa isxdigit
aminúsc tolower
amayúsc toupper
errnum errno
y and
y_ig and_eq
bit_y bitand
bit_o bitor
no not
no_ig not_eq
o or
o_ig or_eq
oex xor
oex_ig xor_eq
seno sin
asen asin
senh sinh
asenh asinh
log1m log1p
pot pow
rzcd sqrt
rzcb cbrt
hipot hypot
tope ceil
suelo floor
redond round
lredond lround
llredond llround
cercaint nearbyint
resto remainder
rescoc remquo
copsigno copysign
non nan
siguiente nextafter
sig_a nexttoward
fdif fdim
fms fma
fpclas fpclassify
esfinito isfinite
esinfinito isinf
esnon isnan
esnormal isnormal
signobit signbit
esmás isgreater
ismásigual isgreaterequal
esmenos isless
esmenosigual islessequal
esmásmenos islessgreater
esnoordenado isunordered
INFINITO INFINITY
NON NAN
GRANDE HUGE_VAL
GRANDEF HUGE_VALF
GRANDEL HUGE_VALL
brinclg longjmp
ponbrinc setjmp
señal signal
elevar raise
ptodif_t ptrdiff_t
tamaño_t size_t
máx_nivel_t max_align_t
nulopto_t nullptr_t
compensadode offsetof
NULO NULL
quitar remove
renombrar rename
archivotmp tmpfile
nombretmp tmpnam
fcerrar fclose
fdescarg fflush
fabrir fopen
freopen freabrir
ponguarda setbuf
ponvguarda setvbuf
fimprimaf fprintf
fescanf fscanf
imprimaf printf
escanf scanf
snimprimaf snprintf
simprimaf sprintf
sescanf sscanf
vfimprimaf vfprintf
vfescanf vfscanf
vimprimaf vprintf
vescanf vscanf
vsnimprimaf vsnprintf
vsimprimaf vsprintf
vsescanf vsscanf
fsacac fgetc
fsacas fgets
fponc fputc
fpons fputs
sacac getc
sacacarác getchar
sacas gets
ponc putc
poncarác putchar
pons puts
dessacac ungetc
fleer fread
fescribir fwrite
fsacapos fgetpos
fbusc fseek
fponpos fsetpos
fdecir ftell
rebob rewind
quitaerr clearerr
ffda feof
ierror perror
paadob atof
paaint atoi
paall atoll
paladob strtod
palaflo strtof
palal strtol
palald strtold
palall strtoll
palansl strtoul
palansll strtoull
aleat rand
saleat srand
casign calloc
lib free
masign malloc
reasign realloc
ensalir atexit
en_salir_rápido at_quick_exit
sistema system
_Salir _Exit
bbusca bsearch
rordena qsort
mbtam mblen
mbacl mbtowc
clamb wctomb
mbaclpal mbtowcs
clpalampbal wvstombs
SALIR_FRACASO EXIT_FAILURE
SALIR_ÉXITO EXIT_SUCCESS
MB_TAM_MÁX MB_CUR_MAX
NULO NULL
ALEATORIO_MÁX RAND_MAX
copmem memcpy
muevamem memmove
coppal strcpy
copnpal strncpy
catpal strcat
catnpal strncat
compmem memcmp
comppal strcmp
collpal strcoll
compnpal strncmp
xfrmpal strxfrm
memcarác memchr
palcarác strchr
alcancpal strcspn
palcbusc strpbrk
pallcarác strrchr
alcanpal strspn
palpal strstr
palsím strtok
mempon memset
palerr strerr
paltamaño strlen
tamaño_t size_t
reloj clock
diftiempo difftime
haztiempo mktime
tiempo time
asctiempo asctime
ctiempo ctime
utctiempo gmtime
tiempolocal localtime
TIC_POR_SEGUNDO CLOCKS_PER_SEC
reloj_t clock_t
tiempo_t time_t
abrir open
abierto is_open
cerrar close
leecarga rdbuf
trocar swap
numcarác gcount
saca get
sacalínea getline
ignorar ignore
mira peek
leer read
leeralguna readsome
pon putback
dessaca unget
decirg tellg
buscarg seekg
sinc sync
escribir write
decirp tellp
buscarp seekp
descargar flush
bueno good
fda eof
fracaso fail
malo bad
leerestado rdstate
ponestado setstate
despejar clear
copfmt copyfmt
llenar fill
excepciónes exceptions
imbuir imbue
atar tie
reducir narrow
ampliar widen
señales flags
ponseñal setf
desponseñal unsetf
precisión precision
ancho width
sacaloc getloc
xasign xalloc
ipalab iword
ppalab pword
retrollamada register_callback
sinc_con_stdio sync_with_stdio
terml endl
cen cin
ca cout
creg clog
lcen wcin
lca wcout
lcerr wcerr
lcreg wclog
palabra_simple basic_string
carác_carác") // this is the one pun I allowed myself  char_traits
palabra string
ns16string u16string
ns32string u32string
palabral wstring
pai stoi
pal stol
pansl stoul
pall stoll
pansll stoull
paf stof
pad stod
pald stold
a_palabra to_string
a_palabral to_wstring
empieza begin
fin end
matríz array
dfila deque
lista_adelante forward_list
lista list
pila stack
fila queue
fila_priorizada priority_queue
colección set
multicolección set
mapa map
multimapa multimap
colección_desordenada unordered_set
multicolección_desordenada") // that's  unordered_multiset
mapa_desordenada unordered_map
multimapa_desordenada unordered_multimap
empieza begin
antes_empieza before_begin
oempieza rbegin
ofin rend
cempieza cbegin
antes_cempieza cbefore_begin
cfin cend
crempieza crbegin
crfin crbegin
crempieza crbegin
crfin crend
tamaño size
tamaño_máx max_size
vaciar empty
remedir resize
reducir_a_tamaño shring_to_fit
capacidad capacity
reservar reserve
frente front
atrás back
en at
asignar assign
emponer emplace
emponer_después emplace_after
emponer_pista emplace_hint
insertar insert
insertar_después insert_after
borrar erase
emponer_frente emplace_front
borrar_después erase_after
pulsar_atrás push_back
pop_atrás pop_back
emponer_frente emplace_front
pulsar_frente push_front
pop_frente pop_front
despejar clear
swap trocar
unir splice
quitar remove
quitar_si remove_if
único unique
fundir merge
ordenar sort
invertir reverse
saca_asignador get_allocator
contar count
encontrar find
gama_igual equal_range
límite_inferior lower_bound
límite_superior upper_bound
comp_clave key_comp
comp_valor value_comp
ig_clave key_eq
función_hash hash_function
balde bucket
num_balde bucket_count
balde_tamaño bucket_size
máx_num_balde max_bucket_count
carga_factor load_factor
máx_carga_factor max_load_factor
