volver return
no not
en in
abs abs
dicc dict
ayuda help
min min
ponatr setattr
todo all
dir dir
hex hex
sig next
cortar slice
cualq any
divmod divmod
id id
objeto object
ordenado sorted
ascii ascii
enumerar enumerate
entrada input
oct oct
metestat staticmethod
bin bin
eval eval
int int
abrir open
pal str
bool bool
ejec exec
esocasión isinstance
ord ord
suma sum
bytematríz bytearray
filtro filter
essubclase issubclass
pot pow
padre super
bytes bytes
flot float
iter iter
imprima print
tuple tuple
llamable callable
formato format
tam len
propiedad property
tipo type
carác chr
coleccióncongel frozenset
lista list
gama range
vars vars
metclase classmethod
sacaatr getattr
locals locals
repr repr
zip zip
compila compile
globales globals
mapa map
invertido reversed
importa import
complejo complex
tieneatr hasattr
max max
redond round 
elimatr delattr
hash hash        
memvista memoryview
set set
Falso False
Cierto True
Nada None
NoImplementado NotImplemented
Elipsis Ellipsis
deprua debug
dejar quit
salir exit
si if
si_no else
sino elif
para for
mientras while
haz do
romper break
continuar continue
interr switch
caso case
pasa pass
tope ceil
copsigno copysign
fabs fabs
factorial factorial
suelo floor
fmod fmod
frexp frexp
fsuma fsum
esinfinito isinf
esnon isnan
ldexp ldexp
modf modf
trunc trunc
exp exp
log log
log1p log1p
log10 log10
pot pow
rzcd sqrt
acos acos
asen asin
atan atan
atan2 atan2
cos cos
hipot hypot
seno sin
tan tan
grados degrees
radians radians
acosh acosh
asenh asinh
atanh atanh
cosh cosh
seng sinh
tanh tanh
erf erf
erfc erfc
gamma gamma
lgamma lgamma
pi pi
e e
argv argv
byteorden byteorder
subversion subversion
nombres_módulos_integrados builtin_module_names
sigue_llamas call_tracing
copyright copyright
_despeja_tipo_cache _clear_type_cache
_marco_actual _current_frames
dllhandle dllhandle
displayhook displayhook
excepthook excepthook
exc_info exc_info
ejec_prefijo exec_prefix
ejecutable executable
salir exit
flags señales
flot_info float_info
estilo_flot_repr float_repr_style
sacacheqintervalo getcheckinterval
sacacodbase getdefaultencoding
sacaseñdlabierto getdlopenflags
sacasistemaarchivocod getfilesystemencoding
sacareftotal getrefcount
sacarecursiómlímite getrecursionlimit
sacatamañode getsizeof
_sacamarco _getframe
sacaperfil getprofile
sacarastro gettrace
sacaversionwindows getwindowsversion
versionhex hexversion
int_info int_info
intern intern
último_tipo last_type
último_valor last_value
último_origen last_traceback
tamañomáx maxsize
unicodemáx maxunicode
meta_camino meta_path
módulos modules
camino path
camino_ganchos path_hooks
camino_importador_cache path_importer_cache
plataforma platform
prefijo prefix
ps1 ps1
ps2 ps2
no_escribir_bytecode dont_write_bytecode
ponverifintervalo setcheckinterval
poncodbase setdefaultencoding
ponseñdlabierto setdlopenflags
ponsistemaarchivocod setfilesystemencoding
ponrecursiómlímite setrecursionlimit
ponorigen settrace
ponscdump settscdump
stden stdin
stda stdout
stderr stderr
últorigenlimite tracebacklimit
versión         version
versión_api api_version
versión_info version_info
opcionesaviso warnoptions
winver winver
semilla seed
sacaestado getstate
ponestado setstate
sacabitsaleat getrandbits
gamaaleat randrange
intaleat randint
variedad choice
barajar shuffle
muestra sample
aleatorio random
uniforme uniform
triangular triangular
variantebeta betavariate
variantegamma gammavariate
gauss gauss
variantelognorm lognormvariate
variantenormal normalvariate
variantevonmises vonmisesvariate
variantepareto paretovariate
varianteweibull weibullvariate
SistemaAleatoria SystemRandom
nuevo new
inic init
elim del
repr repr
pal str
formato format
med lt
mei le
ig eq
ni ne
mad gt
mai ge
hash hash
bool bool
sacaatributo getattribute
saca get
pon set
elimina delete
ranuras slots
cheqocación instancecheck
cheqsubclass subclasscheck
llama call
sacacosa getitem
poncosa setitem
eliminacosa delitem
tiene contains
más add
resta sub
mul mul
ciertadiv truediv
suelodiv floordiv
mod mod
imov lshift
dmov rshift
y and
oex xor
o or
rmás radd
rresta rsub
rmul rmul
rciertadiv rtruediv
rsuelodiv rfloordiv
rmod rmod
rdivmod rdivmod
rpot rpow
rimov rlshift
rdmov rrshift
ry rand
roex rxor
ro ror
imás iadd
iresta isub
imul imul
iciertadiv itruediv
isuelodiv ifloordiv
imod imod
ipot ipow
iimov ilshift
idmov irshift
iy iand
ioex ixor
io ior
neg neg
pos pos
abs abs
interte invert
complejo complex
int int
flot float
redond round
índice index
entra enter
salir exit
